time,model_id,learning_rate,epochs,batchsize,acc_train,acc_val,accuracy,precision,recall,f1_score
2025-06-13 07:41:44,base_downsamp_augment+,0.0007,15,32,0.5101778507232666,0.49083268642425537,0.525974025974026,0.5575171923660385,0.525974025974026,0.522507769723997
2025-06-13 07:50:22,base_upsamp_augment+,0.0007,15,32,0.5917450189590454,0.5336134433746338,0.5668449197860963,0.5938703845021867,0.5668449197860963,0.5645031657276907
2025-06-13 07:54:10,base_meansamp_augment+,0.0007,15,32,0.5813318490982056,0.5085943341255188,0.5423987776928954,0.5648969616499224,0.5423987776928954,0.5347254241990903
2025-06-13 08:00:23,conv4dense2,0.0007,25,32,0.6479257345199585,0.5874713659286499,0.6145912910618793,0.6454018901906653,0.6145912910618793,0.6107500871431953
2025-06-13 08:05:14,conv4small_dense1,0.0007,30,32,0.687882125377655,0.6203208565711975,0.6462948815889993,0.6663479629250072,0.6462948815889993,0.643037670855574
2025-06-13 08:10:55,conv5_dense1,0.0007,30,32,0.5997816324234009,0.5582505464553833,0.5859434682964094,0.6024297546585289,0.5859434682964094,0.5784864823418099
2025-06-13 08:16:19,conv5small_dense1,0.0007,30,32,0.6775655150413513,0.6329258680343628,0.6428571428571429,0.6652123354844202,0.6428571428571429,0.6386667676684628
2025-06-13 08:20:52,conv4small_dense2_lowlr,0.0005,30,32,0.6481441259384155,0.5832696557044983,0.6111535523300229,0.6534697839770741,0.6111535523300229,0.6118097105165272
2025-06-13 08:28:02,conv4lesspoll_dense1,0.0005,35,32,0.7403930425643921,0.5989304780960083,0.6688311688311688,0.7003294946255363,0.6688311688311688,0.6685475414405271
2025-06-13 08:35:05,conv3_dense2,0.0005,35,32,0.6135371327400208,0.6029411554336548,0.6176470588235294,0.6369325543831256,0.6176470588235294,0.6110238071157879
2025-06-13 08:41:31,conv3_dense1,0.0005,35,32,0.709115743637085,0.6229946613311768,0.6634835752482812,0.6735825599970546,0.6634835752482812,0.6628468457289145
2025-06-13 08:44:47,conv3invert_dense1,0.0005,35,32,0.7167576551437378,0.6445760130882263,0.6504965622612682,0.6820561731081414,0.6504965622612682,0.6510025267555546
2025-06-13 08:47:02,conv4lesspollinv_dense1,0.0005,35,32,0.6732532978057861,0.6080977916717529,0.6080977845683728,0.6365520734873058,0.6080977845683728,0.6066616321829845
2025-06-13 08:51:53,conv4invto128_dense1,0.0005,35,32,0.7870087623596191,0.6820091605186462,0.6787624140565317,0.7021129896775785,0.6787624140565317,0.6775012291555812
2025-06-13 08:55:29,conv5invto128_dense1,0.0005,35,32,0.7237991094589233,0.639992356300354,0.6535523300229182,0.6626283755490265,0.6535523300229182,0.6503922751177992
2025-06-13 09:00:38,conv5invto128_dense1_35extraepochs,0.0005,70,32,0.8152838349342346,0.6888846158981323,0.7127578304048893,0.7176209127552197,0.7127578304048893,0.7116394203387585
2025-06-13 09:21:47,mobnet2_small_notraining,0.0007,15,32,,,0.07944996180290298,0.13520724717200305,0.07944996180290298,0.054000299738750555
2025-06-13 09:24:23,mobnet2_small,0.0007,15,32,0.9562773108482361,0.9539725184440613,0.9530175706646294,0.953837003504507,0.9530175706646294,0.9531392146379138
2025-06-13 09:28:39,mobnet2_3dense,0.0005,15,32,0.9133187532424927,0.9507257342338562,0.9518716577540107,0.9523318092569356,0.9518716577540107,0.9519205080119617
2025-06-13 09:34:45,mobnet2_2dense,0.0005,15,32,0.9411026239395142,0.9553093910217285,0.9549274255156608,0.9552564290706865,0.9549274255156608,0.954923571531553
2025-06-13 10:18:24,conv5invto128_dense1_80total,0.0005,10,32,0.8249453902244568,0.6923223733901978,0.713903743315508,0.7197924081031993,0.713903743315508,0.7120800397693796
2025-06-13 10:27:51,conv4invto128_dense1,0.0005,80,32,0.8299126625061035,0.7127578258514404,0.7108479755538579,0.7202352266715968,0.7108479755538579,0.7111514423128222
2025-06-13 10:33:08,conv4lesspoll_dense1,0.0005,80,32,0.6798034906387329,0.6168830990791321,0.645912910618793,0.6664376435741506,0.645912910618793,0.6411290880698036
2025-06-13 11:05:52,mobnet2_small_tune20,1e-05,5,32,0.9536026120185852,0.9568372964859009,0.9568372803666921,0.957314001431488,0.9568372803666921,0.956982863400404
2025-06-13 11:08:30,mobnet2_small_tune20,0.0001,5,32,0.9604257345199585,0.958747148513794,0.9576012223071046,0.9576203454193914,0.9576012223071046,0.957553862797868
2025-06-13 11:11:27,mobnet2_small_tune20_15epochs,0.0001,10,32,0.965884268283844,0.9577922224998474,0.9602750190985485,0.9605302695848442,0.9602750190985485,0.9603418480003235
2025-06-13 11:54:48,resnet2_small,0.0007,15,32,0.954475998878479,0.9516806602478027,0.9457601222307105,0.9462246860456861,0.9457601222307105,0.9456922156786538
2025-06-13 12:06:45,resnet2_small_finetune,0.0001,30,32,0.9895742535591125,0.9520626664161682,0.9495798319327731,0.9502812010200644,0.9495798319327731,0.949626386292183
2025-06-13 12:16:11,resnet2_small_finetune,1e-05,30,32,0.9938318729400635,0.9660046100616455,0.9591291061879297,0.9598451405539947,0.9591291061879297,0.9593642260264668
2025-06-13 12:42:30,effnet2S_small,0.0005,12,32,0.9741266369819641,0.9799465537071228,0.9747899159663865,0.9750156719567635,0.9747899159663865,0.9748403494559278
2025-06-13 13:11:47,effet2S_small_finetune,1e-05,35,32,0.9882642030715942,0.9822383522987366,0.9766997708174179,0.976715803225723,0.9766997708174179,0.9766861000180398
2025-06-13 13:29:15,mobnet2_dense256,0.0005,13,32,0.9576964974403381,0.956264317035675,0.9614209320091673,0.9614580832641236,0.9614209320091673,0.9614172511929887
2025-06-13 13:39:37,mobnet2_dense256,0.0005,13,32,0.9614083170890808,0.9549274444580078,0.9560733384262796,0.9566360225741722,0.9560733384262796,0.9561920522738363
2025-06-13 13:54:46,mobnet2_dense256_finetune,1e-05,30,32,0.9669213891029358,0.9583651423454285,0.9656226126814362,0.9657769189789747,0.9656226126814362,0.9656672602551806
2025-06-13 16:14:03,conv4inv128_pool_dense256,0.0001,80,32,0.7570415139198303,0.6334988474845886,0.6390374331550802,0.6643883047963065,0.6390374331550802,0.6366220886768176
2025-06-13 16:31:39,conv4inv8to128_pool_dense196,0.0001,80,32,0.7832969427108765,0.668067216873169,0.6581359816653934,0.6734654268812319,0.6581359816653934,0.6567571866231487
2025-06-13 16:46:12,conv4inv8to128_dense96,0.0001,80,32,0.7286026477813721,0.6262413859367371,0.6455309396485867,0.6732908138085052,0.6455309396485867,0.6431880688184012
2025-06-14 00:23:16,conv4invto128_dense256,0.0005,80,32,0.8365720510482788,0.698051929473877,0.7028265851795263,0.7184829696833798,0.7028265851795263,0.7038962812038475
2025-06-14 00:33:01,conv4invto128_pool_dense256_upsamp,0.0005,80,32,0.8311691880226135,0.7142857313156128,0.6837280366692131,0.7038691421091986,0.6837280366692131,0.680214990449868
2025-06-14 00:58:04,conv4invto128_dense256_upsamp,0.0005,80,32,0.8756756782531738,0.7379679083824158,0.719633307868602,0.728425306779025,0.719633307868602,0.7210973313757011
2025-06-15 14:09:57,conv5invto128_dense256,0.0002,80,32,0.8165392875671387,0.6724599003791809,0.6707410236822001,0.691857445966267,0.6707410236822001,0.6706762961495655
2025-06-15 14:28:26,conv5invto128_dense256_upsamp,0.0002,80,32,0.8663924932479858,0.7095111012458801,0.700916730328495,0.7147869315778043,0.700916730328495,0.7032050324612332
